"Time","vhx","vhy"
260,-1.523735688958851e-07,4.434489694117206e-07
261,-1.566075739840841e-07,4.521582027863143e-07
262,-1.608665541772996e-07,4.608049472987637e-07
263,-1.651492646456026e-07,4.693853503344224e-07
264,-1.694544355107412e-07,4.77895640339561e-07
265,-1.737807721162906e-07,4.863321301695675e-07
266,-1.781269553122864e-07,4.94691220290795e-07
267,-1.824916417543903e-07,5.029694018314194e-07
268,-1.868734642176162e-07,5.111632594769696e-07
269,-1.912710319246356e-07,5.192694742064019e-07
270,-1.956829308886745e-07,5.272848258648783e-07
271,-2.001077242709982e-07,5.352061955696922e-07
272,-2.045439527529647e-07,5.430305679460089e-07
273,-2.089901349226301e-07,5.507550331894354e-07
274,-2.134447676758543e-07,5.583767889526611e-07
275,-2.179063266318666e-07,5.658931420537236e-07
276,-2.22373266563219e-07,5.73301510003768e-07
277,-2.26844021840054e-07,5.805994223523889e-07
278,-2.313170068885934e-07,5.877845218490359e-07
279,-2.357906166637509e-07,5.948545654192158e-07
280,-2.402632271357409e-07,6.018074249544679e-07
281,-2.447331957905646e-07,6.086410879155471e-07
282,-2.49198862144222e-07,6.153536577483485e-07
283,-2.536585482704982e-07,6.219433541126109e-07
284,-2.581105593421477e-07,6.284085129235584e-07
285,-2.62553184185297e-07,6.347475862070868e-07
286,-2.669846958468658e-07,6.409591417692966e-07
287,-2.714033521747984e-07,6.470418626815385e-07
288,-2.758073964108731e-07,6.529945465823921e-07
289,-2.80195057795862e-07,6.588161047983037e-07
290,-2.845645521867804e-07,6.645055612849135e-07
291,-2.889140826859698e-07,6.700620513913331e-07
292,-2.93241840281726e-07,6.754848204500193e-07
293,-2.975460045001953e-07,6.807732221950303e-07
294,-3.018247440682209e-07,6.859267170118341e-07
295,-3.060762175868393e-07,6.909448700220415e-07
296,-3.10298574215082e-07,6.958273490067145e-07
297,-3.144899543637549e-07,7.005739221721682e-07
298,-3.186484903988369e-07,7.051844557623728e-07
299,-3.227723073541364e-07,7.096589115223889e-07
300,-3.268595236528277e-07,7.139973440174097e-07
301,-3.309082518374874e-07,7.181998978122775e-07
302,-3.3491659930822e-07,7.222668045165057e-07
303,-3.388826690684864e-07,7.261983797000748e-07
304,-3.428045604781965e-07,7.299950196854358e-07
305,-3.466803700136541e-07,7.336571982214059e-07
306,-3.505081920339101e-07,7.37185463044719e-07
307,-3.542861195530824e-07,7.405804323352571e-07
308,-3.580122450181887e-07,7.438427910710937e-07
309,-3.616846610920263e-07,7.469732872896291e-07
310,-3.653014614406374e-07,7.499727282612804e-07
311,-3.688607415248778e-07,7.528419765822456e-07
312,-3.723605993956088e-07,7.555819461930247e-07
313,-3.757991364920238e-07,7.581935983294878e-07
314,-3.79174458442611e-07,7.606779374133378e-07
315,-3.824846758682615e-07,7.630360068889476e-07
316,-3.857279051870074e-07,7.652688850135631e-07
317,-3.889022694198899e-07,7.673776806079767e-07
318,-3.920058989974437e-07,7.693635287747892e-07
319,-3.950369325662807e-07,7.712275865914471e-07
320,-3.979935177952559e-07,7.729710287852204e-07
321,-4.008738121807011e-07,7.745950433973517e-07
322,-4.036759838501992e-07,7.761008274435684e-07
323,-4.063982123643824e-07,7.774895825781516e-07
324,-4.090386895162313e-07,7.787625107687839e-07
