"Time","vhx","vhy"
379,5.749077870605287e-07,-1.07193779633226e-05
380,5.43924813479979e-07,-1.06257643796686e-05
381,5.123592525520634e-07,-1.0528427962378e-05
382,4.802158884315693e-07,-1.04274013975296e-05
383,4.474998308610547e-07,-1.032271952670801e-05
384,4.142165154559189e-07,-1.021441929307632e-05
385,3.803717037978035e-07,-1.010253968480536e-05
386,3.459714833353757e-07,-9.98712167597613e-06
387,3.110222670917054e-07,-9.868208165076076e-06
388,2.755307931776791e-07,-9.745843911213437e-06
389,2.395041241108937e-07,-9.620075468177764e-06
390,2.029496459395939e-07,-9.49095111647769e-06
391,1.658750671716468e-07,-9.358520793490423e-06
392,1.282884175081985e-07,-9.222836021859817e-06
393,9.019804638224088e-08,-9.083949836282598e-06
394,5.16126213022438e-08,-8.941916708824613e-06
395,1.254112600109499e-08,-8.796792472910592e-06
396,-2.700714160910338e-08,-8.648634246133033e-06
397,-6.702257167580204e-08,-8.497500352026664e-06
398,-1.074952448376905e-07,-8.343450240956651e-06
399,-1.484149348483377e-07,-8.186544410268903e-06
400,-1.897711113907585e-07,-8.026844323851907e-06
401,-2.315529430819739e-07,-7.864412331259429e-06
402,-2.737493006660552e-07,-7.699311586543529e-06
403,-3.163487603943842e-07,-7.531605966946929e-06
404,-3.5933960759158e-07,-7.361359991603458e-06
405,-4.027098404054904e-07,-7.188638740393972e-06
406,-4.464471737392933e-07,-7.013507773104442e-06
407,-4.905390433640396e-07,-6.836033049031292e-06
408,-5.349726102093615e-07,-6.65628084717741e-06
409,-5.797347648304057e-07,-6.474317687180378e-06
410,-6.248121320484714e-07,-6.290210251112175e-06
411,-6.701910757632325e-07,-6.104025306287339e-06
412,-7.15857703933829e-07,-5.915829629213768e-06
413,-7.617978737261201e-07,-5.725689930817318e-06
414,-8.079971968237363e-07,-5.533672783068562e-06
415,-8.544410448995414e-07,-5.339844547136241e-06
416,-9.011145552450578e-07,-5.14427130318866e-06
417,-9.480026365543525e-07,-4.947018781960396e-06
418,-9.950899748595227e-07,-4.748152298197592e-06
419,-1.042361039614303e-06,-4.547736686091081e-06
420,-1.089800089922526e-06,-4.345836236801935e-06
421,-1.137391180907922e-06,-4.142514638179821e-06
422,-1.185118170221722e-06,-3.937834916769461e-06
423,-1.232964724684359e-06,-3.731859382195913e-06
424,-1.280914327057518e-06,-3.52464957401417e-06
425,-1.328950282942938e-06,-3.316266211103415e-06
426,-1.377055727803578e-06,-3.106769143681193e-06
427,-1.425213634103669e-06,-2.896217308007015e-06
428,-1.473406818563274e-06,-2.684668683839633e-06
429,-1.521617949523392e-06,-2.472180254706612e-06
430,-1.569829554417227e-06,-2.258807971039035e-06
431,-1.618024027343509e-06,-2.044606716218375e-06
432,-1.66618363673757e-06,-1.829630275577051e-06
433,-1.714290533135508e-06,-1.613931308387767e-06
434,-1.762326757027449e-06,-1.397561322871419e-06
435,-1.810274246794907e-06,-1.180570654247001e-06
436,-1.858114846728126e-06,-9.630084458410681e-07
437,-1.905830315118515e-06,-7.449226332684981e-07
438,-1.953402332421778e-06,-5.263599316901465e-07
439,-2.000812509486876e-06,-3.073658261471179e-07
440,-2.048042395846228e-06,-8.798456496552032e-08
441,-2.095073488062377e-06,1.317408437804002e-07
442,-2.141887238126472e-06,3.517686327646618e-07
443,-2.18846506190356e-06,5.720582728891358e-07
444,-2.234788347620056e-06,7.925704677756318e-07
445,-2.280838464388582e-06,1.013267145305684e-06
446,-2.326596770765228e-06,1.234111446248191e-06
447,-2.37204462333442e-06,1.455067710021354e-06
448,-2.417163385316692e-06,1.676101457639721e-06
449,-2.461934435194267e-06,1.897179371903126e-06
450,-2.506339175349803e-06,2.118269274888973e-06
451,-2.550359040713316e-06,2.339340102814437e-06
452,-2.593975507412591e-06,2.560361878339732e-06
453,-2.637170101422062e-06,2.781305680388617e-06
454,-2.67992440720558e-06,3.002143611566278e-06
455,-2.722220076347976e-06,3.222848763259646e-06
456,-2.764038836170956e-06,3.443395178508719e-06
457,-2.805362498328473e-06,3.663757812741941e-06
458,-2.846172967376629e-06,3.883912492472132e-06
459,-2.886452249313818e-06,4.103835872053082e-06
460,-2.92618246008615e-06,4.323505388600643e-06
461,-2.965345834053672e-06,4.542899215184514e-06
462,-3.003924732412733e-06,4.7619962124009e-06
463,-3.041901651570061e-06,4.980775878438144e-06
464,-3.079259231463981e-06,5.199218297750312e-06
465,-3.115980263828307e-06,5.417304088455979e-06
466,-3.1520477003947e-06,5.635014348581533e-06
467,-3.187444661028886e-06,5.852330601270121e-06
468,-3.222154441796715e-06,6.069234739078777e-06
469,-3.256160522955697e-06,6.285708967488302e-06
470,-3.289446576867876e-06,6.501735747750659e-06
471,-3.321996475830157e-06,6.717297739200472e-06
472,-3.353794299817571e-06,6.932377741157214e-06
473,-3.38482434413618e-06,7.146958634545403e-06
474,-3.415071126981235e-06,7.361023323360509e-06
475,-3.444519396897002e-06,7.574554676107663e-06
476,-3.473154140134491e-06,7.787535467340603e-06
477,-3.5009605879035e-06,7.999948319427484e-06
478,-3.527924223515255e-06,8.211775644669358e-06
479,-3.554030789412281e-06,8.422999587896478e-06
480,-3.579266294082125e-06,8.633601969666104e-06
481,-3.603617018851474e-06,8.843564230184157e-06
482,-3.627069524557587e-06,9.052867374071424e-06
483,-3.649610658093804e-06,9.261491916093544e-06
484,-3.671227558826165e-06,9.469417827970994e-06
485,-3.691907664878023e-06,9.67662448638421e-06
486,-3.711638719279995e-06,9.883090622285733e-06
487,-3.730408775982298e-06,1.008879427162864e-05
488,-3.748206205726992e-06,1.029371272761819e-05
489,-3.765019701777163e-06,1.049782249459e-05
490,-3.780838285501115e-06,1.070109924361507e-05
491,-3.795651311808705e-06,1.090351776992886e-05
492,-3.809448474437778e-06,1.110505195227738e-05
493,-3.822219811088386e-06,1.130567471427058e-05
494,-3.833955708402856e-06,1.150535798782817e-05
495,-3.844646906789556e-06,1.170407267880025e-05
496,-3.854284505088539e-06,1.190178863484017e-05
497,-3.86285996507733e-06,1.209847461560319e-05
498,-3.870365115814997e-06,1.229409826533971e-05
499,-3.876792157823133e-06,1.248862608794792e-05
500,-3.882133667102156e-06,1.268202342454575e-05
501,-3.886382598981501e-06,1.287425443361716e-05
502,-3.889532291802485e-06,1.306528207378349e-05
503,-3.891576470432655e-06,1.325506808924547e-05
504,-3.892509249610548e-06,1.344357299793654e-05
505,-3.892325137119819e-06,1.363075608242329e-05
506,-3.89101903679197e-06,1.381657538358358e-05
507,-3.888586251336706e-06,1.400098769708836e-05
508,-3.885022484999486e-06,1.418394857270748e-05
509,-3.880323846045509e-06,1.436541231645488e-05
510,-3.874486849069663e-06,1.454533199558381e-05
511,-3.867508417132133e-06,1.472365944643713e-05
512,-3.859385883719236e-06,1.49003452851527e-05
513,-3.850116994529499e-06,1.507533892121895e-05
514,-3.839699909084569e-06,1.524858857387061e-05
515,-3.828133202165296e-06,1.542004129130936e-05
516,-3.815415865072786e-06,1.558964297272923e-05
517,-3.801547306714686e-06,1.575733839312181e-05
518,-3.786527354517029e-06,1.592307123083131e-05
519,-3.770356255161906e-06,1.608678409782426e-05
520,-3.753034675151447e-06,1.624841857263492e-05
521,-3.734563701198572e-06,1.640791523594175e-05
522,-3.714944840445228e-06,1.656521370872619e-05
523,-3.694180020508654e-06,1.672025269296074e-05
524,-3.672271589356606e-06,1.687297001476832e-05
525,-3.649222315012229e-06,1.702330266999142e-05
526,-3.62503538508967e-06,1.717118687210477e-05
527,-3.599714406161292e-06,1.73165581024016e-05
528,-3.573263402957643e-06,1.745935116237954e-05
529,-3.545686817401391e-06,1.759950022824865e-05
530,-3.51698950747625e-06,1.773693890748045e-05
531,-3.487176745932483e-06,1.787160029731293e-05
532,-3.456254218830087e-06,1.800341704512416e-05
533,-3.424228023921207e-06,1.813232141058309e-05
534,-3.391104668873302e-06,1.825824532948393e-05
535,-3.356891069334539e-06,1.838112047916688e-05
536,-3.321594546843154e-06,1.850087834542645e-05
537,-3.285222826582272e-06,1.861745029080532e-05
538,-3.247784034982091e-06,1.873076762416973e-05
539,-3.209286697171183e-06,1.884076167146045e-05
540,-3.169739734278728e-06,1.894736384751144e-05
541,-3.129152460589533e-06,1.905050572882671e-05
542,-3.087534580553912e-06,1.915011912720406e-05
543,-3.044896185654296e-06,1.924613616409358e-05
544,-3.001247751130685e-06,1.933848934557756e-05
545,-2.956600132567025e-06,1.942711163785722e-05
546,-2.910964562340537e-06,1.951193654313141e-05
547,-2.864352645936348e-06,1.959289817575178e-05
548,-2.816776358129486e-06,1.966993133853842e-05
549,-2.768248039036477e-06,1.974297159914034e-05
550,-2.718780390038916e-06,1.981195536632448e-05
551,-2.668386469581312e-06,1.987681996607817e-05
552,-2.617079688845374e-06,1.993750371740956e-05
553,-2.5648738073034e-06,1.999394600773186e-05
554,-2.511782928152832e-06,2.004608736771768e-05
555,-2.457821493634783e-06,2.009386954551088e-05
556,-2.403004280238596e-06,2.013723558018484e-05
557,-2.347346393795183e-06,2.017612987433693e-05
558,-2.290863264461436e-06,2.021049826571127e-05
559,-2.233570641598478e-06,2.024028809774274e-05
