"Time","vhx","vhy"
354,4.604524298919606e-07,6.662329453003403e-05
355,4.689868177938156e-07,6.733162476400069e-05
356,4.772932037126474e-07,6.804021254627778e-05
357,4.853655239055223e-07,6.874892762699251e-05
358,4.931976913314482e-07,6.945763742006924e-05
359,5.007835968353716e-07,7.016620704958207e-05
360,5.081171103525053e-07,7.087449939748236e-05
361,5.151920821327949e-07,7.158237515266785e-05
362,5.220023439851958e-07,7.228969286135954e-05
363,5.285417105412066e-07,7.299630897875143e-05
364,5.348039805375034e-07,7.370207792189746e-05
365,5.407829381172299e-07,7.440685212379967e-05
366,5.464723541494057e-07,7.511048208866016e-05
367,5.518659875662671e-07,7.581281644825988e-05
368,5.569575867178833e-07,7.651370201942509e-05
369,5.617408907438262e-07,7.721298386254351e-05
370,5.662096309612115e-07,7.791050534108985e-05
371,5.703575322688916e-07,7.860610818212119e-05
372,5.74178314567149e-07,7.929963253770167e-05
373,5.776656941924796e-07,7.999091704721465e-05
374,5.808133853668586e-07,8.067979890052213e-05
375,5.836151016612958e-07,8.136611390192787e-05
376,5.860645574727023e-07,8.204969653490334e-05
377,5.881554695139312e-07,8.273038002753229e-05
378,5.898815583162739e-07,8.340799641863201e-05
379,5.912365497439023e-07,8.4082376624507e-05
380,5.922141765196918e-07,8.475335050629184e-05
381,5.928081797619161e-07,8.542074693783892e-05
382,5.930123105311592e-07,8.608439387410683e-05
383,5.928203313869482e-07,8.674411842000545e-05
384,5.922260179534727e-07,8.739974689965258e-05
385,5.912231604938605e-07,8.805110492599763e-05
386,5.898055654923002e-07,8.869801747076795e-05
387,5.879670572435317e-07,8.934030893469215e-05
388,5.857014794490513e-07,8.997780321795627e-05
389,5.830026968193636e-07,9.061032379084764e-05
390,5.798645966817896e-07,9.123769376454121e-05
391,5.762810905930557e-07,9.185973596198442e-05
392,5.722461159561637e-07,9.247627298883468e-05
393,5.67753637640856e-07,9.308712730440626e-05
394,5.627976496070899e-07,9.369212129258079e-05
395,5.573721765307701e-07,9.42910773326385e-05
396,5.514712754312954e-07,9.488381786996483e-05
397,5.450890373000852e-07,9.54701654865898e-05
398,5.382195887296296e-07,9.604994297151606e-05
